title,genre,director,year,duration,gross,budget,cast_facebook_likes,votes,reviews,rating
American History X,Crime,Tony Kaye,1998,101,6712241,7500000,3858,782437,1582,8.6
Baby Geniuses,Comedy,Bob Clark,1999,97,27141959,18000000,2936,19547,213,2.5
The Omega Code,Action,Robert Marcarelli,1999,100,12610552,7500000,2428,4682,245,3.5
Bats,Horror,Louis Morneau,1999,91,10149779,6500000,1405,8294,257,3.6
Dudley Do-Right,Comedy,Hugh Wilson,1999,77,9694105,22000000,5568,8176,118,3.8
Universal Soldier: The Return,Action,Mic Rodgers,1999,83,10431220,24000000,4024,24216,237,4.1
Wing Commander,Action,Chris Roberts,1999,100,11576087,30000000,2497,14747,423,4.1
Inspector Gadget,Action,David Kellogg,1999,110,97360069,75000000,5320,36491,301,4.1
Breakfast of Champions,Comedy,Alan Rudolph,1999,110,175370,12000000,17417,6884,175,4.6
The Rage: Carrie 2,Horror,Katt Shea,1999,104,17757087,21000000,3162,13065,338,4.6
Wild Wild West,Action,Barry Sonnenfeld,1999,106,113745408,170000000,15870,129601,733,4.8
My Favorite Martian,Comedy,Donald Petrie,1999,94,36830057,65000000,2151,10883,122,4.9
The Haunting,Fantasy,Jan de Bont,1999,113,91188905,80000000,17786,58184,972,4.9
Doug's 1st Movie,Animation,Maurice Joyce,1999,77,19421271,5000000,2908,2448,46,5
Superstar,Comedy,Bruce McCulloch,1999,81,30628981,14000000,10792,15047,203,5
Held Up,Comedy,Steve Rash,1999,89,4692814,8000000,3291,2870,45,5.1
Random Hearts,Drama,Sydney Pollack,1999,133,31054924,64000000,16710,17025,386,5.1
Chill Factor,Action,Hugh Johnson,1999,102,11227940,34000000,1274,8367,162,5.2
The Out-of-Towners,Comedy,Sam Weisman,1999,90,28535768,40000000,1335,10446,167,5.3
The Astronaut's Wife,Drama,Rand Ravich,1999,109,10654581,34000000,52621,45497,367,5.3
The Astronaut's Wife,Drama,Rand Ravich,1999,109,10654581,34000000,52621,45500,367,5.3
Jawbreaker,Comedy,Darren Stein,1999,87,3071947,3500000,9555,18711,232,5.4
Play It to the Bone,Comedy,Ron Shelton,1999,124,8427204,24000000,1523,10100,132,5.4
The Loss of Sexual Innocence,Drama,Mike Figgis,1999,106,399793,4000000,4343,2877,101,5.4
Runaway Bride,Comedy,Garry Marshall,1999,116,152149590,70000000,12790,74274,358,5.5
In Dreams,Drama,Neil Jordan,1999,100,11900000,30000000,22006,11003,210,5.5
Lake Placid,Action,Steve Miner,1999,82,31768374,27000000,3313,42761,518,5.6
The Muse,Comedy,Albert Brooks,1999,97,11614236,15000000,15209,9294,237,5.6
House on Haunted Hill,Horror,William Malone,1999,93,40846082,19000000,2872,45317,683,5.6
End of Days,Action,Peter Hyams,1999,121,66862068,83000000,3903,89509,698,5.7
Drive Me Crazy,Comedy,John Schultz,1999,91,17843379,8000000,1760,14904,206,5.7
Deuce Bigalow: Male Gigolo,Comedy,Mike Mitchell,1999,88,65535067,17000000,2604,59380,293,5.7
Deep Blue Sea,Action,Renny Harlin,1999,105,73648142,60000000,3697,99043,842,5.8
The Adventures of Elmo in Grouchland,Adventure,Gary Halvorson,1999,73,11634458,17000000,2020,2045,81,5.8
Love Stinks,Comedy,Jeff Franklin,1999,94,2800000,4000000,2662,4377,130,5.8
She's All That,Comedy,Robert Iscove,1999,95,63319509,10000000,28734,67115,485,5.8
Molly,Comedy,John Duigan,1999,102,15593,21000000,1562,2295,56,5.8
200 Cigarettes,Comedy,Risa Bramon Garcia,1999,101,6851636,6000000,2697,13010,249,5.9
The Story of Us,Comedy,Rob Reiner,1999,95,27067160,50000000,14706,18404,249,5.9
At First Sight,Drama,Irwin Winkler,1999,128,22326247,60000000,3821,11232,161,5.9
The Corruptor,Action,James Foley,1999,110,15156200,30000000,571,15358,222,6
Mystery Men,Action,Kinka Usher,1999,121,29655590,65000000,3986,53970,560,6
Pushing Tin,Comedy,Mike Newell,1999,124,8406264,38000000,13093,24826,231,6
Light It Up,Drama,Craig Bolotin,1999,99,5871603,13000000,6485,3116,78,6
Anywhere But Here,Comedy,Wayne Wang,1999,114,18653615,23000000,22040,14786,139,6.1
Edtv,Comedy,Ron Howard,1999,122,22362500,55000000,15275,35599,310,6.1
In Too Deep,Crime,Michael Rymer,1999,95,14003141,7000000,4837,4598,57,6.1
Message in a Bottle,Drama,Luis Mandoki,1999,131,52799004,55000000,19815,28942,308,6.1
Entrapment,Action,Jon Amiel,1999,113,87704396,66000000,1302,88132,412,6.2
Muppets from Space,Adventure,Tim Hill,1999,87,16290976,24000000,3243,14637,170,6.2
Idle Hands,Comedy,Rodman Flender,1999,92,4002955,20000000,3654,33745,257,6.2
Stigmata,Horror,Rupert Wainwright,1999,103,50041732,29000000,3004,54390,529,6.2
Blue Streak,Action,Les Mayfield,1999,93,68208190,65000000,2986,60572,184,6.3
"Happy, Texas",Comedy,Mark Illsley,1999,98,1943649,1700000,2095,8697,199,6.3
Crazy in Alabama,Comedy,Antonio Banderas,1999,111,1954202,15000000,4834,5917,99,6.3
A Dog of Flanders,Drama,Kevin Brodie,1999,100,2148212,7000000,1906,781,45,6.3
The Deep End of the Ocean,Drama,Ulu Grosbard,1999,106,13376506,40000000,4327,10413,165,6.3
The General's Daughter,Drama,Simon West,1999,116,102678089,95000000,2321,42705,387,6.3
Outside Providence,Comedy,Michael Corrente,1999,96,7292175,7000000,2018,7736,172,6.4
Flawless,Comedy,Joel Schumacher,1999,112,4485485,15000000,46022,14612,183,6.4
Varsity Blues,Comedy,Brian Robbins,1999,106,52885587,16000000,23369,35312,334,6.4
Big Daddy,Comedy,Dennis Dugan,1999,93,163479795,34200000,26760,161858,401,6.4
Bowfinger,Comedy,Frank Oz,1999,85,66365290,55000000,22458,56874,498,6.4
Double Jeopardy,Crime,Bruce Beresford,1999,105,116735231,70000000,2129,56646,465,6.4
Brokedown Palace,Drama,Jonathan Kaplan,1999,100,10114315,25000000,582,18693,257,6.4
The Blair Witch Project,Horror,Daniel Myrick,1999,81,140530114,60000,399,186786,3760,6.4
Star Wars: Episode I - The Phantom Menace,Action,George Lucas,1999,136,474544677,115000000,37723,534658,3917,6.5
The Basket,Drama,Rich Cowan,1999,105,609042,1300000,3475,449,52,6.5
For Love of the Game,Drama,Sam Raimi,1999,137,35168395,50000000,25469,26034,339,6.5
Instinct,Drama,Jon Turteltaub,1999,126,34098563,55000000,13406,27191,332,6.5
Austin Powers: The Spy Who Shagged Me,Action,Jay Roach,1999,95,205399422,33000000,47203,181225,983,6.6
The 13th Warrior,Action,John McTiernan,1999,102,32694788,85000000,1815,101411,631,6.6
But I'm a Cheerleader,Comedy,Jamie Babbit,1999,85,2199853,1200000,4289,19986,285,6.6
Blast from the Past,Comedy,Hugh Wilson,1999,112,26494611,35000000,5709,48621,334,6.6
Summer of Sam,Crime,Spike Lee,1999,142,19283782,22000000,5386,31227,439,6.6
A Walk on the Moon,Drama,Tony Goldwyn,1999,107,4741987,14000000,10368,6782,161,6.6
Tumbleweeds,Comedy,Gavin O'Connor,1999,102,1281176,312000,1986,2932,137,6.7
Just Looking,Comedy,Jason Alexander,1999,97,39852,3000000,1030,1238,45,6.7
The Best Man,Comedy,Malcolm D. Lee,1999,120,34074895,9000000,5420,6525,111,6.7
Analyze This,Comedy,Harold Ramis,1999,103,106694016,30000000,24333,123940,482,6.7
The Bone Collector,Crime,Phillip Noyce,1999,118,66488090,48000000,29748,120202,472,6.7
Anna and the King,Drama,Andy Tennant,1999,148,39251128,75000000,804,31080,308,6.7
Detroit Rock City,Comedy,Adam Rifkin,1999,95,4193025,15000000,2518,30682,236,6.8
Bicentennial Man,Comedy,Chris Columbus,1999,132,58220776,100000000,55254,87785,455,6.8
The Thomas Crown Affair,Crime,John McTiernan,1999,113,69304264,48000000,4660,73068,571,6.8
Ride with the Devil,Drama,Ang Lee,1999,148,630779,35000000,5,11101,254,6.8
Snow Falling on Cedars,Drama,Scott Hicks,1999,127,14378353,36000000,2393,12375,289,6.8
Bringing Out the Dead,Drama,Martin Scorsese,1999,121,16640210,55000000,13040,53028,545,6.8
Any Given Sunday,Drama,Oliver Stone,1999,156,75530832,55000000,20761,97047,623,6.8
The Wood,Comedy,Rick Famuyiwa,1999,106,25047631,6000000,2724,6585,68,6.9
Mumford,Comedy,Lawrence Kasdan,1999,112,4554569,28000000,17873,8134,188,6.9
Cruel Intentions,Drama,Roger Kumble,1999,97,38201895,10500000,6223,149222,850,6.9
Cradle Will Rock,Drama,Tim Robbins,1999,132,2899970,32000000,16878,8039,231,6.9
American Pie,Comedy,Paul Weitz,1999,95,101736215,11000000,8134,315549,934,7
Jesus' Son,Drama,Alison Maclean,1999,107,1282084,2500000,2125,6221,161,7
Stir of Echoes,Horror,David Koepp,1999,99,21133087,12000000,1254,62468,538,7
Three Kings,Action,David O. Russell,1999,114,60652036,48000000,3743,137854,710,7.1
Payback,Action,Brian Helgeland,1999,90,81517441,50000000,3148,111368,537,7.1
Limbo,Adventure,John Sayles,1999,126,1997807,8000000,823,5158,186,7.1
The Limey,Crime,Steven Soderbergh,1999,89,3193102,9000000,1335,24412,351,7.1
10 Things I Hate About You,Comedy,Gil Junger,1999,97,38176108,16000000,37907,222099,682,7.2
Arlington Road,Crime,Mark Pellington,1999,117,24362501,21500000,13576,69980,746,7.2
The Virgin Suicides,Drama,Sofia Coppola,1999,90,4859475,6000000,7103,116910,672,7.2
Galaxy Quest,Adventure,Dean Parisot,1999,102,71423726,45000000,26998,123558,822,7.3
Fantasia 2000,Animation,James Algar,1999,74,60507228,80000000,814,27543,315,7.3
"Girl, Interrupted",Biography,James Mangold,1999,127,28871190,24000000,13433,125421,518,7.3
Go,Comedy,Doug Liman,1999,102,16842303,6500000,2475,59474,555,7.3
Election,Comedy,Alexander Payne,1999,103,14879556,8000000,3516,73640,616,7.3
The Talented Mr. Ripley,Crime,Anthony Minghella,1999,139,81292135,40000000,36810,137891,899,7.3
Twin Falls Idaho,Drama,Michael Polish,1999,111,985341,500000,3166,3479,141,7.3
Angela's Ashes,Drama,Alan Parker,1999,145,13038660,25000000,1282,16995,262,7.3
Dogma,Adventure,Kevin Smith,1999,130,30651422,10000000,16693,181737,1221,7.4
Beyond the Mat,Biography,Barry W. Blaustein,1999,108,2047570,500000,194,6790,150,7.6
Boys Don't Cry,Biography,Kimberly Peirce,1999,118,11533945,2000000,563,77551,557,7.6
The Hurricane,Biography,Norman Jewison,1999,146,50668906,38000000,20516,76016,330,7.6
Smiling Fish & Goat on Fire,Comedy,Kevin Jordan,1999,90,277233,40000,20814,2631,47,7.6
South Park: Bigger Longer & Uncut,Animation,Trey Parker,1999,81,52008288,21000000,3003,162037,1091,7.8
Office Space,Comedy,Mike Judge,1999,89,10824921,10000000,3462,200293,765,7.8
Being John Malkovich,Comedy,Spike Jonze,1999,112,22858926,13000000,1171,254404,1082,7.8
Toy Story 2,Adventure,John Lasseter,1999,82,245823397,90000000,21275,385871,706,7.9
The Insider,Biography,Michael Mann,1999,157,28965197,68000000,18216,133526,730,7.9
The Iron Giant,Action,Brad Bird,1999,90,23159305,70000000,16358,128455,676,8
Magnolia,Drama,Paul Thomas Anderson,1999,188,22450975,37000000,1906,241030,1661,8
The Sixth Sense,Drama,M. Night Shyamalan,1999,107,293501675,40000000,17540,704766,2307,8.1
American Beauty,Drama,Sam Mendes,1999,122,130058047,15000000,19078,822500,2891,8.4
The Green Mile,Crime,Frank Darabont,1999,189,136801374,60000000,17716,782610,1563,8.5
The Matrix,Action,Lana Wachowski,1999,136,171383253,63000000,18563,1217752,3959,8.7
Fight Club,Drama,David Fincher,1999,151,37023395,63000000,13209,1347461,3283,8.8
Battlefield Earth,Action,Roger Christian,2000,119,21471685,44000000,971,65464,1482,2.4
The Flintstones in Viva Rock Vegas,Comedy,Brian Levant,2000,90,35231365,60000000,6299,15517,142,3.6
Book of Shadows: Blair Witch 2,Adventure,Joe Berlinger,2000,90,26421314,15000000,608,28964,617,4
3 Strikes,Comedy,DJ Pooh,2000,82,9821335,6000000,3354,1415,32,4
The Adventures of Rocky & Bullwinkle,Adventure,Des McAnuff,2000,92,26000610,76000000,28050,16611,246,4.1
Urban Legends: Final Cut,Horror,John Ottman,2000,97,21468807,14000000,2682,13048,335,4.1
Nutty Professor II: The Klumps,Comedy,Peter Segal,2000,109,123307945,65000000,2818,39391,265,4.3
Whipped,Comedy,Peter M. Cohen,2000,82,4142507,3000000,858,3665,129,4.4
Highlander: Endgame,Action,Douglas Aarniokoski,2000,101,12801190,15000000,2764,16340,445,4.6
The In Crowd,Drama,Mary Lambert,2000,105,5217498,15000000,2312,3668,134,4.6
The Next Best Thing,Comedy,John Schlesinger,2000,99,14983572,25000000,2498,9361,248,4.7
102 Dalmatians,Adventure,Kevin Lima,2000,100,66941559,85000000,4182,26413,161,4.8
Lost Souls,Drama,Janusz Kaminski,2000,97,16779636,28000000,1805,9338,267,4.8
Supernova,Horror,Walter Hill,2000,91,14218868,65000000,1262,14596,382,4.8
Dracula 2000,Action,Patrick Lussier,2000,99,33000377,28000000,23344,27378,487,4.9
Snow Day,Adventure,Chris Koch,2000,89,60008303,13000000,2241,9285,133,4.9
Down to You,Comedy,Kris Isacsson,2000,91,20035310,9000000,4409,12324,237,4.9
Big Momma's House,Action,Raja Gosnell,2000,99,117559438,30000000,1790,66941,248,5.1
Get Carter,Action,Stephen Kay,2000,102,14967182,40000000,14463,27305,386,5.1
The Ladies Man,Comedy,Reginald Hudlin,2000,84,13592872,11000000,10982,10777,137,5.1
Bless the Child,Crime,Chuck Russell,2000,107,29374178,40000000,4565,12093,288,5.1
Here on Earth,Drama,Mark Piznarski,2000,96,10494147,15000000,3142,7403,206,5.1
Isn't She Great,Biography,Andrew Bergman,2000,95,2954405,36000000,2928,1977,127,5.3
Woman on Top,Comedy,Fina Torres,2000,92,5018450,8000000,2687,8546,158,5.3
Boys and Girls,Comedy,Robert Iscove,2000,94,20627372,16000000,3451,13661,201,5.3
Loser,Comedy,Amy Heckerling,2000,98,15464026,20000000,1189,23076,239,5.3
Ready to Rumble,Comedy,Brian Robbins,2000,107,12372410,24000000,4971,11709,152,5.3
Little Nicky,Comedy,Steven Brill,2000,90,39442871,80000000,25190,80639,324,5.3
The Watcher,Crime,Joe Charbanic,2000,97,28927720,33000000,18688,22220,284,5.3
Charlie's Angels,Action,McG,2000,94,125305545,92000000,15419,145350,824,5.5
"Dude, Where's My Car?",Comedy,Danny Leiner,2000,83,46729374,13000000,6454,116625,575,5.5
Whatever It Takes,Comedy,David Raynr,2000,94,8735529,15000000,13524,8055,139,5.5
Autumn in New York,Drama,Joan Chen,2000,103,37752931,40000000,26938,20201,281,5.5
Scream 3,Horror,Wes Craven,2000,116,89138076,40000000,600,98535,946,5.5
Mercy Streets,Action,Jon Gunn,2000,106,171988,600000,1281,448,31,5.6
The Skulls,Action,Rob Cohen,2000,106,35007180,15000000,26652,26846,295,5.6
I Dreamed of Africa,Adventure,Hugh Hudson,2000,114,6543194,34000000,1778,3740,113,5.6
Mission to Mars,Adventure,Brian De Palma,2000,114,60874615,90000000,4902,60467,1130,5.6
Drowning Mona,Comedy,Nick Gomez,2000,96,15427192,16000000,11078,11768,232,5.6
The Crew,Comedy,Michael Dinner,2000,88,13019253,23000000,1509,3914,100,5.6
Coyote Ugly,Comedy,David McNally,2000,107,60786269,45000000,3106,90539,534,5.6
What Planet Are You From?,Comedy,Mike Nichols,2000,87,6291602,50000000,3954,8070,173,5.6
Reindeer Games,Action,John Frankenheimer,2000,124,23360779,34000000,10838,31113,338,5.7
The Art of War,Action,Christian Duguay,2000,116,30199105,40000000,3753,25346,277,5.7
Red Planet,Action,Antony Hoffman,2000,106,17473245,70000000,2,47612,493,5.7
Hollow Man,Action,Paul Verhoeven,2000,119,73209340,95000000,2356,101834,808,5.7
Gun Shy,Comedy,Eric Blakeney,2000,101,1631839,10000000,17665,5936,140,5.7
Screwed,Comedy,Scott Alexander,2000,81,6982680,10000000,3848,6965,98,5.7
All the Pretty Horses,Drama,Billy Bob Thornton,2000,220,15527125,57000000,15006,11388,268,5.8
Digimon: The Movie,Action,Mamoru Hosoda,2000,82,9628751,5000000,315,5164,94,5.9
Vertical Limit,Action,Martin Campbell,2000,124,68473360,75000000,3424,49536,513,5.9
The 6th Day,Action,Roger Spottiswoode,2000,123,34543701,82000000,5839,100001,459,5.9
Bring It On,Comedy,Peyton Reed,2000,98,68353550,10000000,5270,70141,524,5.9
Gossip,Drama,Davis Guggenheim,2000,90,5108820,24000000,12776,12519,175,5.9
The Specials,Action,Craig Mazin,2000,82,12996,1000000,3905,1938,83,6
Duets,Comedy,Bruce Paltrow,2000,112,4734235,15000000,1227,8217,188,6
28 Days,Comedy,Betty Thomas,2000,103,37035515,43000000,23864,34597,310,6
Bedazzled,Comedy,Harold Ramis,2000,93,37879996,48000000,5390,81888,379,6
How the Grinch Stole Christmas,Comedy,Ron Howard,2000,110,260031035,123000000,4146,141414,657,6
Romeo Must Die,Action,Andrzej Bartkowiak,2000,115,55973336,25000000,9082,57040,435,6.1
Mission: Impossible II,Action,John Woo,2000,123,215397307,125000000,11930,242188,1663,6.1
Next Friday,Comedy,Steve Carr,2000,98,57176582,9500000,3939,27492,139,6.1
The Kid,Comedy,Jon Turteltaub,2000,104,69688384,60000000,16452,34473,225,6.1
Miss Congeniality,Action,Donald Petrie,2000,109,106807667,45000000,1574,137377,510,6.2
Proof of Life,Action,Taylor Hackford,2000,135,32598931,65000000,1013,49300,399,6.2
The Tigger Movie,Animation,Jun Falkenstein,2000,77,45542421,30000000,575,13319,142,6.3
Tadpole,Comedy,Gary Winick,2000,78,2882062,150000,1144,5178,192,6.3
An Everlasting Piece,Comedy,Barry Levinson,2000,103,75078,14000000,1403,1398,60,6.3
The Cell,Horror,Tarsem Singh,2000,109,61280963,33000000,2474,79877,902,6.3
Space Cowboys,Action,Clint Eastwood,2000,130,90454043,65000000,17771,60165,495,6.4
The Perfect Storm,Action,Wolfgang Petersen,2000,130,182618434,140000000,2684,133076,1010,6.4
Keeping the Faith,Comedy,Edward Norton,2000,128,37036404,30000000,5404,44816,407,6.4
What Women Want,Comedy,Nancy Meyers,2000,127,182805123,70000000,5838,158864,544,6.4
The Yards,Crime,James Gray,2000,115,882710,24000000,11433,16215,231,6.4
Gone in Sixty Seconds,Action,Dominic Sena,2000,127,101643008,90000000,29069,218341,673,6.5
Dinosaur,Adventure,Eric Leighton,2000,82,137748063,127500000,2945,38438,386,6.5
Bamboozled,Comedy,Spike Lee,2000,135,2185266,10000000,4266,8720,243,6.5
Road Trip,Comedy,Todd Phillips,2000,94,68525609,15600000,3889,132963,405,6.5
The Replacements,Comedy,Howard Deutch,2000,118,44737059,50000000,24024,48322,379,6.5
"Me, Myself & Irene",Comedy,Bobby Farrelly,2000,116,90567722,51000000,1711,185878,636,6.5
Groove,Drama,Greg Harrison,2000,86,1114943,500000,407,3562,120,6.5
Shanghai Noon,Action,Tom Dey,2000,110,56932305,55000000,939,96690,439,6.6
Titan A.E.,Action,Don Bluth,2000,94,22751979,75000000,15857,52244,508,6.6
The Beach,Adventure,Danny Boyle,2000,119,39778599,50000000,29461,176169,666,6.6
Chuck & Buck,Comedy,Miguel Arteta,2000,96,1050600,250000,1378,4662,195,6.6
The Original Kings of Comedy,Comedy,Spike Lee,2000,115,38168022,3000000,1964,4687,136,6.6
What Lies Beneath,Drama,Robert Zemeckis,2000,130,155370362,100000000,12890,98403,868,6.6
The Way of the Gun,Action,Christopher McQuarrie,2000,119,6047856,8500000,358,27536,444,6.7
Small Time Crooks,Comedy,Woody Allen,2000,94,17071230,18000000,23283,31169,320,6.7
The Whole Nine Yards,Comedy,Jonathan Lynn,2000,98,57262492,24000000,17582,90374,447,6.7
The Family Man,Comedy,Brett Ratner,2000,125,75764085,60000000,16646,85844,443,6.7
Center Stage,Drama,Nicholas Hytner,2000,115,17174870,18000000,1201,15817,278,6.7
The Legend of Bagger Vance,Drama,Robert Redford,2000,126,30695227,60000000,34774,45296,392,6.7
Final Destination,Horror,James Wong,2000,98,53302314,23000000,3345,181058,885,6.7
Where the Heart Is,Comedy,Matt Williams,2000,120,33771174,15000000,22383,27044,318,6.8
The Road to El Dorado,Adventure,Bibo Bergeron,2000,89,50802661,95000000,3372,58300,221,6.9
Return to Me,Comedy,Bonnie Hunt,2000,115,32662299,24000000,3946,16469,381,6.9
Pollock,Biography,Ed Harris,2000,122,8596914,6000000,1517,23023,263,7
The Broken Hearts Club: A Romantic Comedy,Comedy,Greg Berlanti,2000,94,1744858,1000000,3085,6084,171,7
Meet the Parents,Comedy,Jay Roach,2000,108,166225040,55000000,24286,260442,657,7
Boiler Room,Crime,Ben Younger,2000,120,16938179,8000000,17336,41313,378,7
Urbania,Drama,Jon Shear,2000,106,1027119,225000,964,2742,111,7
My Dog Skip,Drama,Jay Russell,2000,95,34099640,5000000,2515,16651,228,7
The Contender,Drama,Rod Lurie,2000,126,17804273,20000000,25660,20449,506,7
The Patriot,Action,Roland Emmerich,2000,142,113330342,110000000,19454,207613,1336,7.1
Pitch Black,Horror,David Twohy,2000,112,39235088,23000000,16196,193962,1019,7.1
Men of Honor,Biography,George Tillman Jr.,2000,129,48814909,32000000,36069,89424,322,7.2
Brother,Crime,Takeshi Kitano,2000,114,447750,10000000,2126,18520,214,7.2
Love & Basketball,Drama,Gina Prince-Bythewood,2000,124,27441122,15000000,5135,14322,184,7.2
Pay It Forward,Drama,Mimi Leder,2000,123,33508922,40000000,23920,95860,817,7.2
Unbreakable,Drama,M. Night Shyamalan,2000,106,94999143,75000000,33645,245152,1638,7.2
The Emperor's New Groove,Adventure,Mark Dindal,2000,78,89296573,100000000,2039,128285,438,7.3
Erin Brockovich,Biography,Steven Soderbergh,2000,131,125548685,52000000,10003,135246,667,7.3
Frequency,Crime,Gregory Hoblit,2000,118,44983704,31000000,4045,81866,678,7.3
Songcatcher,Drama,Maggie Greenwald,2000,109,3050934,1800000,2187,2794,117,7.3
Finding Forrester,Drama,Gus Van Sant,2000,136,51768623,43000000,1801,73006,434,7.3
Thirteen Days,Drama,Roger Donaldson,2000,145,34566746,80000000,1825,45231,477,7.3
X-Men,Action,Bryan Singer,2000,104,157299717,75000000,21397,452928,1691,7.4
Wonder Boys,Comedy,Curtis Hanson,2000,107,19389454,55000000,22974,54643,508,7.4
Best in Show,Comedy,Christopher Guest,2000,90,18621249,6000000,4611,45859,459,7.5
George Washington,Drama,David Gordon Green,2000,90,241816,42000,642,6246,151,7.5
American Psycho,Crime,Mary Harron,2000,102,15047419,7000000,25462,357275,1349,7.6
Traffic,Crime,Steven Soderbergh,2000,190,124107476,48000000,1418,170684,1090,7.6
Cast Away,Adventure,Robert Zemeckis,2000,143,233630478,90000000,15838,394317,1272,7.7
You Can Count on Me,Drama,Kenneth Lonergan,2000,111,9180275,1200000,4288,22145,353,7.7
Remember the Titans,Biography,Boaz Yakin,2000,120,115648585,30000000,54877,160776,559,7.8
Almost Famous,Adventure,Cameron Crowe,2000,152,32522352,60000000,36897,207287,971,7.9
Requiem for a Dream,Drama,Darren Aronofsky,2000,102,3609278,4500000,2235,573541,2150,8.4
Gladiator,Action,Ridley Scott,2000,171,187670866,103000000,6521,982637,2633,8.5
Memento,Mystery,Christopher Nolan,2000,113,25530884,9000000,1997,845580,2341,8.5
Glitter,Drama,Vondie Curtis-Hall,2001,104,4273372,22000000,1854,19412,374,2.1
Soul Survivors,Drama,Stephen Carpenter,2001,84,3100650,14000000,417,7277,245,3.9
Megiddo: The Omega Code 2,Action,Brian Trenchard-Smith,2001,104,5974653,22000000,4221,2253,129,4.1
On the Line,Comedy,Eric Bross,2001,85,4356743,16000000,2446,3662,125,4.1
Jason X,Action,James Isaac,2001,85,12610731,11000000,3050,38985,878,4.4
Driven,Action,Renny Harlin,2001,116,32616869,72000000,14780,34435,455,4.5
Freddy Got Fingered,Comedy,Tom Green,2001,87,14249005,15000000,2689,39788,716,4.5
The Wash,Comedy,DJ Pooh,2001,93,10097096,4000000,955,5612,65,4.6
Corky Romano,Comedy,Rob Pritts,2001,86,23978402,11000000,3850,10966,162,4.6
Dr. Dolittle 2,Comedy,Steve Carr,2001,87,112950721,72000000,3287,33884,170,4.6
Monkeybone,Animation,Henry Selick,2001,93,5409517,75000000,5580,14280,245,4.7
Valentine,Horror,Jamie Blanks,2001,96,20384136,10000000,2402,20467,491,4.7
Black Knight,Adventure,Gil Junger,2001,95,33422806,50000000,2643,30771,210,4.8
The Animal,Comedy,Luke Greenfield,2001,84,55762229,22000000,1203,47383,207,4.8
Ghosts of Mars,Action,John Carpenter,2001,98,8434601,28000000,28867,43006,616,4.9
Harvard Man,Comedy,James Toback,2001,99,56007,5500000,6776,3754,96,4.9
Say It Isn't So,Comedy,J.B. Rogers,2001,95,5516708,25000000,2413,11375,178,4.9
Summer Catch,Comedy,Michael Tollin,2001,108,19693891,34000000,3344,12993,157,4.9
Pootie Tang,Action,Louis C.K.,2001,81,3293258,3000000,2238,11399,162,5.2
Texas Rangers,Action,Steve Miner,2001,110,623374,38000000,2120,4757,98,5.2
Cats & Dogs,Action,Lawrence Guterman,2001,87,93375151,60000000,4171,46031,340,5.2
Scary Movie 2,Comedy,Keenen Ivory Wayans,2001,83,71277420,45000000,1645,119590,675,5.2
Double Take,Action,George Gallo,2001,88,20218,24000000,2557,5431,95,5.3
Tomcats,Comedy,Gregory Poirier,2001,95,13558739,11000000,2729,15427,196,5.3
Max Keeble's Big Move,Comedy,Tim Hill,2001,91,17292381,12000000,4551,5794,106,5.3
The Forsaken,Horror,J.S. Cardone,2001,90,6755271,5000000,3004,7319,187,5.3
See Spot Run,Action,John Whitesell,2001,94,33357476,35000000,4194,7392,104,5.4
Spy Kids,Action,Robert Rodriguez,2001,88,112692062,35000000,4499,84325,327,5.4
The Jimmy Show,Comedy,Frank Whaley,2001,96,703,1500000,920,480,30,5.4
Head Over Heels,Comedy,Mark Waters,2001,86,10397365,14000000,2165,11693,165,5.4
Down to Earth,Comedy,Chris Weitz,2001,87,64172251,30000000,2911,19079,183,5.4
Exit Wounds,Action,Andrzej Bartkowiak,2001,101,51758599,33000000,5942,27580,339,5.5
Joe Somebody,Comedy,John Pasquin,2001,98,22770864,38000000,2765,8433,140,5.5
What's the Worst That Could Happen?,Comedy,Sam Weisman,2001,94,32095318,45000000,3664,12466,148,5.5
Domestic Disturbance,Crime,Harold Becker,2001,89,45207112,53000000,13390,21283,288,5.5
Thir13en Ghosts,Horror,Steve Beck,2001,91,41867960,20000000,3023,65512,627,5.5
Bubble Boy,Adventure,Blair Hayes,2001,84,5002310,13000000,18864,25541,228,5.6
Angel Eyes,Drama,Luis Mandoki,2001,102,24044532,38000000,1440,19686,286,5.6
Planet of the Apes,Action,Tim Burton,2001,119,180011740,100000000,2776,177725,1598,5.7
Planet of the Apes,Action,Tim Burton,2001,119,180011740,100000000,2776,177729,1598,5.7
Lara Croft: Tomb Raider,Action,Simon West,2001,100,131144183,115000000,12150,157016,1023,5.7
Not Another Teen Movie,Comedy,Joel Gallen,2001,99,37882551,16000000,15369,80305,490,5.7
America's Sweethearts,Comedy,Joe Roth,2001,102,93607673,48000000,9176,47573,485,5.7
Novocaine,Comedy,David Atkins,2001,95,2025238,6000000,489,9589,189,5.8
Get Over It,Comedy,Tommy O'Haver,2001,87,11560259,22000000,22485,15617,243,5.8
The Glass House,Crime,Daniel Sackheim,2001,106,17951431,30000000,4239,25462,295,5.8
3000 Miles to Graceland,Action,Demian Lichtenstein,2001,125,15738632,42000000,14536,38076,512,5.9
The One,Action,James Wong,2001,85,43905746,49000000,32831,77684,392,5.9
Jurassic Park III,Action,Joe Johnston,2001,92,181166115,93000000,2574,219501,1434,5.9
